Acciones ICA,Acciones Bimbo,,
38.09,29,,
36.88,28.8,,
41.21,29.86,,
33.57,31.08,,
23.15,31.46,,
24.47,32.79,,
26.99,33.12,,
27.45,28.7,,
27.92,32.04,,
24.77,30.5,,
24.81,30.5,,
26.95,33.47,,
25.83,32.88,,
21.65,34.67,,
21.71,39.49,,
23.5,39.51,,
26.06,37.83,,
25.24,39.25,,
23.41,43.2,,
24.24,38.85,,
23.21,40.69,,
23.97,43.83,,
20.48,40.8,,
18.01,40.2,,
15.57,35.53,,
13.51,34.75,,
12.42,35.24,,
13.62,36.14,,
12.93,37.2,,
11.98,38.07,,
10.22,40.61,,
6.62,41.16,,
7.11,38.94,,
6.61,39.39,,
5.32,39.11,,
3.55,40.7,,
4.87,38.14,,
4.27,42.22,,
4.11,43.26,,
3.68,41.2,,
2.94,41.68,,
,40.66,,
,43.23,,
,43.08,,
,42.81,,
,46.87,,
,45.88,,
,45.95,,
,50.66,,
,51.5,,
,51.07,,
,52.45,,
,57.02,,
